doc_id,T00,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19
0,3.536067964056979e-05,3.536067967561766e-05,3.536067999957195e-05,3.536067969036062e-05,3.53606798076655e-05,3.536067949605463e-05,3.536067985476599e-05,3.5360679541949614e-05,3.536067985203301e-05,0.7212826672033203,3.536067950073714e-05,3.5360679889290185e-05,3.536067964274043e-05,3.5360679818378525e-05,3.536067981300595e-05,0.058634176439556554,3.5360679742640925e-05,3.536067969028981e-05,0.2194820248019294,3.5360679538001844e-05
1,1.6677785644625016e-05,0.01017350778229606,0.7714501669545034,0.02233229445137088,0.06445683164066197,1.6677785642805044e-05,1.6677785696680822e-05,1.6677785527875345e-05,1.6677785693476798e-05,1.667778553407768e-05,1.6677785562555184e-05,1.6677785664369666e-05,1.667778562580086e-05,0.0037862533782259816,0.12756745679436135,1.6677785665963192e-05,1.667778557840704e-05,1.66777855385953e-05,1.6677785636799387e-05,1.6677785568393047e-05
2,3.3003300906636e-05,3.300330115319726e-05,0.3727184839065573,0.030102255413450227,0.03784880886874546,3.3003300994350886e-05,3.300330125689193e-05,3.300330079817411e-05,3.300330119313907e-05,3.300330100050728e-05,3.300330124584365e-05,3.300330110765102e-05,0.05616792245348227,0.05098847440218371,0.41234260153407093,3.300330107998487e-05,0.0394024105076175,3.300330096491923e-05,3.300330117238727e-05,3.3003301018862874e-05
3,2.934272353511772e-05,2.934272372157766e-05,0.03429772541624397,2.934272374837238e-05,2.9342723641658607e-05,0.7413181693277671,2.9342723707400442e-05,2.9342723857939627e-05,2.9342723623133248e-05,2.9342723771361516e-05,2.9342723696018827e-05,2.934272363724334e-05,0.0675008318374941,2.9342723647886793e-05,0.15641378983958604,2.9342723596755713e-05,2.9342723492130295e-05,2.9342723686163246e-05,2.934272371785268e-05,2.9342723828221314e-05
4,5.834305834160445e-05,5.834305928174121e-05,5.834305802831543e-05,5.8343058034837204e-05,5.834305790070222e-05,0.9988914818953958,5.834305816852543e-05,5.834305791297548e-05,5.8343057885236386e-05,5.834305795954351e-05,5.8343057962160604e-05,5.834305796929147e-05,5.8343058336855156e-05,5.834305795818992e-05,5.8343058052562825e-05,5.834305800989363e-05,5.8343058306669816e-05,5.834305795888313e-05,5.83430582674752e-05,5.834305826882861e-05
5,0.04198253988849704,0.13295768664531762,1.9817677735092866e-05,1.9817677756992774e-05,1.9817677793723918e-05,1.981767779243635e-05,0.023560560349050377,1.981767768482763e-05,1.981767776686556e-05,1.9817677730852182e-05,0.5745355496807535,1.9817677788198044e-05,0.14535613052929602,1.9817677774193954e-05,1.9817677902434017e-05,1.9817677814187275e-05,0.08133008541827312,1.981767770530045e-05,1.9817677793441886e-05,1.9817677773828723e-05
6,3.95882827000262e-05,3.958828288659437e-05,3.958828273787107e-05,3.9588282720808313e-05,3.958828272757568e-05,3.958828279394896e-05,3.958828282088368e-05,3.958828304303663e-05,3.958828277494539e-05,3.958828275548376e-05,0.01040967203624673,3.958828240084168e-05,3.958828268245191e-05,3.9588282853897044e-05,3.958828284952832e-05,3.9588282725019694e-05,0.04658854622378438,3.958828273944631e-05,0.9423287809330253,3.958828273120265e-05
7,2.812148536664646e-05,2.812148540195213e-05,2.8121485404717645e-05,2.812148549741447e-05,2.8121485390939946e-05,2.8121485551829433e-05,2.8121485350842362e-05,2.812148526530202e-05,2.8121485477196574e-05,2.8121485259000663e-05,2.8121485279446402e-05,2.8121485540681223e-05,0.011890527507405465,2.812148543812176e-05,0.18288504452600737,2.812148531586012e-05,2.8121485511633454e-05,0.8047463627146724,2.81214854268216e-05,2.812148543636958e-05
8,4.708098009789007e-05,0.03742290976388884,0.008860827145346112,0.16114620987772027,0.46232599502927774,0.06603977449906846,4.7080980086225776e-05,4.7080979850534495e-05,4.70809805132707e-05,0.250656527779152,0.012935703161822442,4.708098042915707e-05,4.7080980511771734e-05,4.7080980277158976e-05,4.708098028533877e-05,4.7080980103355174e-05,4.7080980421098565e-05,4.7080980145447406e-05,4.708098045143048e-05,4.708098055169111e-05
9,3.793626799625447e-05,3.7936267799684484e-05,3.793626792640072e-05,0.08562081219197036,0.19160100018423215,3.7936268004741145e-05,3.7936268028026406e-05,3.793626795954247e-05,0.15719439235744312,0.07495808366405103,0.017642273292941973,3.7936267796909374e-05,3.793626809403977e-05,3.79362680023485e-05,0.374062374469388,3.793626802325861e-05,3.793626763270746e-05,3.7936267879304856e-05,0.09842789235703359,3.793626779638698e-05
10,2.5720165154056807e-05,0.4457920775384118,2.5720165076698314e-05,2.5720165192848317e-05,0.09446155688076412,2.572016526564137e-05,2.57201652288413e-05,2.5720165299403727e-05,0.14148233087839807,2.572016528204969e-05,0.015118754961326189,2.5720165119697108e-05,0.03019610764854729,0.07222520725918812,2.5720165256648668e-05,2.5720165312921485e-05,2.5720165138943943e-05,2.5720165119098835e-05,0.20038960268579611,2.572016512147424e-05
11,3.44827594204668e-05,3.4482759381971936e-05,0.10512463717767587,3.4482759356424324e-05,0.010125608265314202,0.003985476758778974,3.448275951760981e-05,3.44827591822615e-05,3.4482759742126415e-05,3.4482759420661494e-05,0.0034080683290147093,3.44827595555633e-05,3.448275979582542e-05,0.017010077423041753,3.4482759456845935e-05,0.02554187781250706,3.4482759393210254e-05,3.448275957790653e-05,3.4482759490072944e-05,0.8343559783603764
12,0.025726213594653956,0.06186791346230758,1.6611296090086332e-05,1.6611296054090752e-05,1.6611296043888135e-05,1.6611296065991124e-05,0.34821633549286457,1.6611296090942916e-05,1.6611296054852773e-05,1.661129599308425e-05,1.6611296043861704e-05,1.661129605713943e-05,1.6611296098514598e-05,1.6611296079829173e-05,1.6611296082519458e-05,0.22175760654947302,0.030370525269067253,1.6611296004049804e-05,0.31182884748682027,1.6611296054606205e-05
13,2.1561018097458152e-05,2.15610181082655e-05,2.1561018133953624e-05,2.1561018209434485e-05,2.156101810765684e-05,2.156101816680684e-05,2.1561018168624153e-05,2.1561017987481515e-05,2.156101814988211e-05,0.9995903406555312,2.156101815804596e-05,2.1561018196999042e-05,2.1561018146160324e-05,2.1561018128864945e-05,2.1561018259679853e-05,2.156101802339063e-05,2.1561018081933085e-05,2.1561018066509943e-05,2.156101817827087e-05,2.1561018099433684e-05
14,1.1039964842112344e-05,0.9997902406677238,1.1039964843426483e-05,1.1039964895978102e-05,1.1039964844045128e-05,1.1039964847647913e-05,1.1039964867961469e-05,1.1039964808450167e-05,1.1039964870879712e-05,1.103996483749283e-05,1.1039964834638845e-05,1.1039964853776394e-05,1.1039964946064103e-05,1.1039964833076266e-05,1.1039964869866676e-05,1.1039964834680094e-05,1.1039964869294688e-05,1.1039964852062653e-05,1.1039964858852498e-05,1.1039964865788231e-05
15,2.8885038215803184e-05,2.888503813367059e-05,2.8885038127278128e-05,2.888503822866936e-05,2.888503821646343e-05,2.888503819416994e-05,0.46211336364112643,2.8885038102475817e-05,2.88850382508253e-05,0.08898006585628858,2.8885038144709148e-05,0.04215062970468478,2.8885038236111372e-05,0.03941244694968166,2.888503821128208e-05,2.8885038347432945e-05,2.8885038254253767e-05,2.888503827623952e-05,0.33421303694045706,0.032726066372822105
16,0.038625080470001585,6.729475254374174e-05,6.72947526300043e-05,6.729475280105876e-05,6.729475234573867e-05,6.729475258597025e-05,0.3167828295516104,0.01867308347406478,6.72947522349379e-05,6.729475279964072e-05,6.729475310979474e-05,6.729475243558352e-05,6.729475279658117e-05,6.729475261055421e-05,6.729475288157201e-05,6.729475251117911e-05,6.729475244511642e-05,6.729475232211283e-05,0.5526470475671584,0.07226253764811122
17,0.8513802688969992,2.648305141014937e-05,0.0043637272221431255,2.6483051400273693e-05,0.00433932223442715,0.03287765472813531,0.01556525404627626,2.6483051512981937e-05,0.010853158719291066,0.005209113677430987,2.6483051267080974e-05,2.6483051379122738e-05,2.6483051403185172e-05,2.648305145569594e-05,0.039763624923152295,2.648305158767234e-05,2.648305141729059e-05,2.64830514157034e-05,0.035356561986425505,2.6483051469712475e-05
18,3.4843206576708456e-05,3.4843206328010346e-05,0.08712538802864621,3.484320633930762e-05,3.4843206490390763e-05,3.484320654598531e-05,3.484320632499174e-05,3.48432062897245e-05,0.09260096823774884,0.037081233435055705,3.4843206293516766e-05,0.01025679580469257,0.02052677002485439,3.484320640051794e-05,3.484320654517682e-05,0.015946366882183823,3.484320625087186e-05,0.6317152230899918,0.10432913601994347,3.4843206497849824e-05
