pos,pos_group,token_str,term_str
CC,CC,Neither,neither
VBG,VB,reducing,reducing
DT,DT,the,the
NN,NN,use,use
IN,IN,of,of
NNS,NN,antibiotics,antibiotics
CC,CC,nor,nor
NN,NN,discovery,discovery
IN,IN,of,of
JJ,JJ,new,new
NNS,NN,ones,ones
MD,MD,may,may
VB,VB,be,be
JJ,JJ,sufficient,sufficient
NNS,NN,strategies,strategies
TO,TO,to,to
VB,VB,avoid,avoid
DT,DT,the,the
JJ,JJ,post-antibiotic,postantibiotic
NN,NN,era,era
DT,DT,This,this
VBZ,VB,is,is
IN,IN,because,because
NNS,NN,bacteria,bacteria
MD,MD,may,may
VB,VB,be,be
VBN,VB,exposed,exposed
TO,TO,to,to
JJ,JJ,other,other
JJ,JJ,non-antibiotic,nonantibiotic
NNS,NN,chemicals,chemicals
WDT,WD,that,that
VBP,VB,predispose,predispose
PRP,PR,them,them
TO,TO,to,to
VB,VB,evolve,evolve
NN,NN,resistance,resistance
TO,TO,to,to
NNS,NN,antibiotics,antibiotics
RBR,RB,more,more
RB,RB,quickly,quickly
NNS,NN,Herbicides,herbicides
VBP,VB,are,are
NNS,NN,examples,examples
IN,IN,of,of
DT,DT,some,some
IN,IN,of,of
DT,DT,the,the
RBS,RB,most,most
JJ,JJ,common,common
JJ,JJ,non-antibiotic,nonantibiotic
NNS,NN,chemicals,chemicals
IN,IN,in,in
JJ,JJ,frequent,frequent
JJ,JJ,global,global
NN,NN,use,use
PRP,PR,We,we
RB,RB,previously,previously
VBD,VB,showed,showed
IN,IN,that,that
IN,IN,in,in
DT,DT,some,some
NNS,NN,combinations,combinations
DT,DT,the,the
NNS,NN,herbicides,herbicides
PRP,PR,we,we
VBD,VB,tested,tested
VBN,VB,made,made
NNS,NN,bacteria,bacteria
RB,RB,phenotypically,phenotypically
VBP,VB,resistant,resistant
TO,TO,to,to
JJR,JJ,higher,higher
NNS,NN,concentrations,concentrations
IN,IN,of,of
NNS,NN,antibiotics,antibiotics
IN,IN,while,while
IN,IN,in,in
JJ,JJ,other,other
NNS,NN,combinations,combinations
NNS,NN,bacteria,bacteria
VBD,VB,became,became
JJ,JJ,susceptible,susceptible
IN,IN,at,at
JJR,JJ,lower,lower
JJ,JJ,antibiotic,antibiotic
NNS,NN,concentrations,concentrations
RB,RB,Here,here
PRP,PR,we,we
VBP,VB,demonstrate,demonstrate
IN,IN,that,that
IN,IN,in,in
DT,DT,both,both
NNS,NN,cases,cases
DT,DT,the,the
NNS,NN,herbicides,herbicides
VBN,VB,worked,worked
IN,IN,with,with
NNS,NN,antibiotics,antibiotics
TO,TO,to,to
VB,VB,accelerate,accelerate
NN,NN,genotypic,genotypic
NN,NN,resistance,resistance
NN,NN,evolution,evolution
RB,RB,Unfortunately,unfortunately
JJ,JJ,antibiotic,antibiotic
NN,NN,resistance,resistance
MD,MD,may,may
VB,VB,increase,increase
RB,RB,even,even
IN,IN,if,if
JJ,JJ,total,total
JJ,JJ,antibiotic,antibiotic
NN,NN,use,use
VBZ,VB,is,is
VBN,VB,reduced,reduced
CC,CC,and,and
JJ,JJ,new,new
NNS,NN,ones,ones
VBP,VB,are,are
VBN,VB,invented,invented
IN,IN,unless,unless
JJ,JJ,other,other
JJ,JJ,environmental,environmental
NNS,NN,exposures,exposures
VBP,VB,are,are
RB,RB,also,also
VBN,VB,controlled,controlled
IN,IN,As,as
JJ,JJ,fundamental,fundamental
NNS,NN,tools,tools
IN,IN,for,for
NN,NN,infection,infection
NN,NN,control,control
NNS,NN,antibiotics,antibiotics
JJ,JJ,underpin,underpin
JJ,JJ,diverse,diverse
JJ,JJ,human,human
NNS,NN,systems,systems
VBG,VB,ranging,ranging
IN,IN,from,from
NN,NN,hospital,hospital
NN,NN,care,care
TO,TO,to,to
VBN,VB,concentrated,concentrated
JJ,JJ,animal,animal
NN,NN,feeding,feeding
NNS,NN,operations,operations
IN,IN,through,through
TO,TO,to,to
