term_str,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
the,0.16458625,0.10536091,-0.12898563,0.2894866,-0.21502861,0.0057606436,0.23533864,0.44826195,-0.5646314,0.20898792,0.4768821,-0.42974758,-0.044572983,0.34947446,-0.26886302,0.30573267,0.04283481,0.16059639,-0.22664213,-0.61645913,-0.025184691,0.20335801,0.08677605,-0.023509216,0.0412088,-0.11168798,-0.07731499,0.25186226,-0.13685052,-0.07906755,0.11066272,0.08569299,0.26414117,-0.1958351,-0.03927303,0.17291209,0.28496337,0.23618875,-0.1704881,-0.2470831,-0.21843785,0.19244817,0.25507417,-0.23286246,0.06314496,-0.0048373817,-0.2918117,0.24691528,-0.021723354,0.3578398,-0.34806514,0.42938164,-0.23536092,-0.10739012,-0.12238389,-0.44754466,0.1049496,-0.21585257,-0.018975241,0.3757558,-0.0042254194,-0.025024088,0.20888667,0.28123254,0.05347628,0.023580141,-0.06742063,0.2502054,-0.3206983,0.14878422,0.34466025,0.16427112,-0.08907417,-0.19596374,0.16115065,-0.33429116,0.23580192,-0.022765215,-0.0359004,0.08433124,0.08374683,-0.17425112,-0.15580346,-0.17939192,-0.06730922,0.062093414,0.4368712,-0.3567572,0.14498633,0.41030514,-0.14936505,-0.026623981,0.0026360862,0.07137599,0.17071414,-0.23860203,0.3539757,-0.07446844,0.26942867,0.23136753,-0.072711274,-0.2959896,-0.13570935,0.0007303286,0.44231713,-0.62139565,0.19876677,0.20511515,-0.42720866,-0.12385658,-0.14526452,-0.16340324,-0.37239215,0.22299951,0.5387461,0.29411528,0.40168813,-0.07090016,-0.1302221,-0.3378279,-0.25261474,0.20828266,0.31525192,-0.22730458,-0.10549919,0.28411534,-0.43012255,0.019335443,-0.119675756,0.15643655,0.3697988,-0.09308699,0.1250484,-0.24862474,0.30150294,0.22145264,0.24946761,0.24687336,-0.3226531,0.4669757,0.34561867,-0.0908715,-0.27710855,-0.082767464,0.11704291,0.3065674,-0.15626934,0.29775771,-0.084973805,0.07253221,0.21936971,-0.25642022,0.22755575,0.14220314,-0.34237227,0.24939798,0.29356962,0.27833813,0.32446086,-0.01268064,-0.09340751,0.0047605946,0.120873466,0.40316585,-0.10176216,0.3108513,0.3160916,-0.094678,0.07442985,0.35191274,-0.27606598,-0.0057219183,0.25767294,0.10644268,0.19203813,-0.34663102,-0.24285306,0.03299315,0.15782882,0.029747851,-0.31843224,0.1994744,0.14625195,-0.06380403,-0.0012651067,-0.2587576,-0.024088869,-0.3141454,-0.07428795,0.024085352,0.035981987,0.06929484,-0.11823571,0.06646604,0.31359553,0.44337043,0.10745492,-0.004008179,-0.334742,0.62350154
of,0.16253556,0.27577063,-0.22926727,-0.16881256,-0.0043528923,0.29393414,0.05013948,-0.15186603,-0.3455507,0.4291701,0.14786899,0.21632847,0.4223439,0.24632093,0.17062607,-0.011590696,0.18983744,0.26905838,-0.27312335,-0.35315424,-0.2615157,-0.35803583,0.13845123,-0.16624533,-0.19827096,-0.31118608,0.3062565,0.060876947,-0.37996495,-0.14393221,0.047427353,0.18777154,-0.23179743,0.007743056,-0.18803018,-0.230271,-0.06660362,0.024485318,0.287568,-0.03138225,0.10747991,-0.075926065,-0.047113866,0.05639666,0.1466253,0.14543234,0.096676916,-0.16927056,0.02737972,0.37250307,0.0072232774,-0.20276348,-0.47296283,-0.38106722,-0.39000866,-0.17709997,-0.066526525,-0.097236335,-0.12841679,-0.008430486,0.04631452,-0.28979892,0.24195401,0.17820711,-0.5921134,0.19563799,0.030595522,0.25377622,-0.21558604,0.2829265,0.47074357,0.16970092,0.19610924,-0.04971109,-0.09148909,0.20997465,0.8490862,-0.09059886,-0.105302736,0.2621565,0.12826277,-0.35380712,-0.119746424,0.13522586,-0.015566114,-0.1463392,-0.13818613,-0.45947117,0.4301984,0.25731534,-0.18446176,0.12765178,0.52067816,0.21662602,0.2764114,0.07032572,0.5959561,-0.2950785,0.50934976,-0.07023842,-0.25702858,0.28763252,0.051359225,-0.0022223005,0.05956553,-0.037506774,0.18611184,0.63625544,-0.089229085,-0.01246819,0.26109147,0.17852859,0.10884407,-0.1151431,0.4849727,-0.07038788,0.2223029,-0.29444352,-0.29394168,0.39081126,0.08739142,-0.058982383,0.45515043,0.28264967,-0.56139886,0.18720227,-0.12092691,-0.1597325,0.07590398,-0.03687641,0.1846492,-0.06466123,-0.011664748,-0.3088344,0.28998056,0.2548429,-0.11067937,-0.22696474,-0.3943067,0.34723166,0.18994959,0.036623605,0.07740559,-0.10041458,0.29133672,0.24485232,-0.29590693,-0.27837527,-0.15573712,-0.0792473,0.15911828,0.04943552,-0.38699907,-0.06084729,-0.4147434,0.49195346,0.18233441,0.2557436,0.45293507,-0.06912228,0.20475169,0.38948783,-0.09969096,-0.011794754,0.3676553,0.2862484,-0.035261706,-0.0518604,-0.033418756,-0.14071594,-0.44809115,0.082266465,-0.0681277,0.16275406,-0.052837953,-0.11360925,-0.18491127,0.0070130364,0.16990851,0.25244945,-0.26548237,0.31687704,0.4112811,-0.23712468,0.27587974,0.14423454,0.03946279,-0.026362121,0.25998148,-0.26814502,-0.26254946,-0.17068301,-0.1425748,-0.29125413,0.6592936,-0.03171893,0.0703243,-0.17201287,-0.26114547,-0.11818108
and,-0.22045371,0.095926516,0.08457949,0.0061999364,0.16827895,0.4343111,-0.19904977,0.20021492,-0.2908907,0.20977972,0.2050681,0.04156895,0.00672149,0.016830578,-0.040567767,0.11346212,-0.29732794,-0.12499114,-0.024281586,-0.22528549,-0.13060825,-0.027606871,0.4062607,0.28448135,-0.008505807,-0.09803017,-0.20211662,0.18396415,-0.0582413,0.1841361,0.09156185,-0.06481832,0.030261192,-0.121683635,0.04069368,-0.08345234,-0.1924758,0.0018666197,0.057112776,0.04428232,-0.00017909582,-0.04574634,-0.084621064,0.12910035,0.08495191,-0.22304703,-0.2621251,-0.042385932,-0.13053836,0.23392262,0.15881369,-0.048656873,0.066809826,-0.059446033,-0.017107278,-0.031590663,0.115835115,-0.27001733,0.068378836,-0.13031982,0.1680356,-0.24897332,0.017110132,0.10541277,-0.40455198,0.07232277,-0.14901505,0.24267288,-0.09226913,0.11796407,0.09193892,-0.038881466,-0.03941761,0.070950426,0.07422884,0.21099144,0.30972576,-0.13307565,-0.10966673,0.03204898,0.03149346,-0.19144933,0.21137051,0.12491252,-0.19083765,0.14619143,-0.11530754,-0.21368529,0.07476386,0.1288526,-0.0904608,-0.13125029,0.2570187,-0.08220595,0.11305334,-0.20378728,0.2921283,-0.121863626,0.18234067,-0.012392826,-0.29433262,0.1397214,-0.26352078,-0.17043361,0.18086506,-0.04415965,0.3428905,0.31204507,-0.2238163,-0.07426301,-0.17454423,-0.010675991,-0.11400023,-0.072297424,0.19804864,-0.00054359477,0.04657624,-0.24822524,-0.24097162,-0.07046717,0.07079198,-0.17492178,-0.011883078,0.32504988,0.030719677,0.05754196,-0.37524268,-0.30407706,0.14451885,-0.13257995,0.30324942,-0.022196088,-0.2391828,-0.21125622,0.30154863,0.16147394,0.31453428,-0.048687745,-0.180214,-0.10571791,0.31194657,-0.36816263,-0.11634811,-0.18602015,-0.16530578,-0.065716065,-0.15014824,0.32137725,-0.14149281,0.14672941,-0.16632113,-0.2548363,-0.1894909,-0.012721,-0.35782385,0.28124964,-0.01930737,-0.1029041,-0.15529221,-0.20524324,0.24475174,0.08674316,0.23963463,-0.09367175,0.038982134,0.024296988,0.024604134,-0.2538813,-0.18613799,-0.030800963,-0.18224014,0.68334335,0.08666453,-0.22925253,-0.034968738,0.008553686,-0.2347127,0.30228183,0.22690414,0.031870577,0.13981222,0.04748182,0.15465862,-0.13176201,0.24405536,0.035845395,-0.11313746,0.23842432,-0.039609753,0.078509234,0.016103199,-0.015218911,0.13893504,0.013020659,0.28650573,-0.033427082,-0.06486892,-0.14491141,-0.18319142,0.035617348
in,-0.016975729,0.061780605,0.11314738,-0.1332274,-0.041747868,0.10453998,0.05048511,-0.46025923,-0.16177331,0.37604606,-0.16929215,0.22831576,0.107142314,0.3030772,-0.13272952,0.101405405,0.026726257,0.3210648,-0.17421713,-0.15216121,-0.09567145,-0.1455101,0.40410095,0.17602038,-0.34858376,-4.695439e-06,0.07584208,-0.017493509,-0.12974401,-0.10476592,0.27602738,0.1627956,0.009250952,0.17079845,0.032824367,0.026623325,-0.4235629,-0.061354864,0.058502644,-0.43281075,0.38292688,0.04200597,0.14487493,-0.19048049,0.26633793,0.24321613,-0.23395184,-0.505643,0.09654805,-0.5117121,0.29531068,-0.4292546,-0.49819526,-0.13042818,-0.59792244,0.07816482,-0.395339,-0.28041586,-0.321515,-0.47277966,-0.062404517,-0.29530835,0.33078548,0.30861965,-0.2693168,-0.017124133,0.04572548,-0.06822992,-0.43177563,0.19979328,-0.22892988,0.26887527,0.14927177,0.066089466,0.20954095,-0.17206877,0.2058349,-0.013435587,-0.35459757,0.3076695,0.18530515,-0.074801214,-0.120253064,0.24746042,-0.24243888,-0.24501646,-0.119096436,-0.32968092,-0.029927518,0.08396731,0.19343674,-0.1335196,0.40186098,0.10861823,0.07010561,-0.4128119,0.24792698,-0.059776537,0.33741248,0.34046838,0.28736266,-0.03779479,0.100802176,0.17616478,0.17259385,-0.26548687,0.053765807,-0.051339574,-0.30331895,-0.09709918,-0.17424074,0.06840123,0.087732755,-0.3665352,0.41794547,-0.0112848105,0.3199674,-0.18071324,0.08645685,-0.41986713,0.25061384,0.54738533,0.13369776,-0.072688915,-0.29093257,0.19943173,-0.4312406,-0.041766528,-0.19710292,-0.072543606,-0.086586654,0.3811742,0.09638275,-0.17945482,0.2280694,0.25895157,-0.33877146,-0.0144103905,-0.49642888,-0.030003214,0.525997,-0.17675124,0.23870838,-0.18483697,0.25243172,-0.33054695,-0.41002417,-0.0046796943,0.41304252,0.18539432,-0.03433481,-0.11879306,0.25559452,-0.096029826,-0.49741903,0.5885261,0.044579294,0.43846947,0.38872424,0.10253849,0.47613305,0.097655706,0.15909852,0.3242138,0.2286907,0.39393678,-0.33928117,-0.3387895,-0.2260846,-0.44392458,-0.33062378,0.23422417,0.055965073,-0.32563952,-0.1004148,0.24086483,0.043277383,-0.010297222,0.5228972,-0.16961546,0.015846517,0.15317746,-0.014199277,0.05922678,-0.022563916,-0.0015907359,0.29680616,0.47924152,0.20190786,-0.2569538,0.051185954,0.20204692,-0.29785097,-0.059202686,0.38648307,-0.20945042,-0.19593488,-0.119822025,0.13585591,-0.27070695
to,-0.5442481,-0.058068823,0.1783957,0.12833199,0.019544434,0.19946922,0.00511776,-0.43527374,-0.14309603,0.10632863,0.090927415,0.10568885,0.49013522,-0.15627998,0.6212612,0.36870405,-0.8763748,-0.2950374,0.049330425,-0.21023475,-0.09934483,0.63938564,0.41584653,-0.20975375,-0.10747106,0.43209025,0.48234534,-0.49232998,0.06784002,-0.40766758,0.8897693,-0.14720874,-0.027197963,0.6658553,-0.012987675,0.29875633,-0.42759293,0.7181429,-0.02201876,-0.35044226,-0.035642095,0.24223725,0.27024597,0.10639011,-0.097133145,0.2921903,-0.7006825,0.5199664,-0.45715535,-0.18536675,0.43357098,0.20267124,0.06498785,-0.4196784,0.28363547,-0.13982351,0.27246603,0.19743061,-0.048480697,-0.6844411,-0.27759963,0.010584595,0.12325999,-0.23922707,-0.67036,0.05214202,-0.1842435,0.7020437,-0.406122,0.5553078,-0.5721856,0.1423774,0.34974256,0.35911986,0.36141816,-0.40891537,-0.037724826,0.0020845975,-0.70937926,-0.5019639,0.07906594,-0.1952439,-0.121551484,0.06300566,0.44328368,0.11007874,0.31611964,0.18909296,-0.3631414,0.13686784,-0.033415146,0.21897581,0.022527078,0.27915877,-0.017166259,0.47508246,0.027913202,0.21654207,0.4795613,-0.23136538,0.26605916,0.07166072,-0.3902946,-0.5143529,0.13932988,-0.43998218,0.26027584,0.3004314,-0.20472987,0.0038902718,-0.16223294,-0.35401556,-0.005344449,-0.1815578,-0.15010597,0.25159642,0.18296282,-0.71485054,0.07119397,-1.0923508,0.0889647,0.32490084,-0.6108152,0.004922339,0.61158466,0.21989761,-0.69617105,0.34865505,-0.0633095,-0.21707638,0.36773238,0.52858365,0.19815448,0.20386976,0.15971951,0.5372809,0.56492114,0.4307462,-0.15539932,-0.03916804,-0.116273105,0.17364557,-0.24966519,-0.21146612,-0.20165373,-0.12001472,0.05666488,0.4763767,0.29576847,0.68839204,-0.21836674,-0.18509588,0.0153010115,0.3750933,-0.71813333,0.29957253,0.26312098,0.15690446,-0.00055437756,-0.45066828,0.3091463,0.33632636,0.8569075,-0.06353394,-0.16515969,0.036683857,-0.57975477,-0.5134984,-0.38616273,0.09333556,-0.12565832,0.9497336,0.13519317,-0.10153586,-0.16581064,-0.22502905,-0.1807428,-0.16661084,0.61742646,0.3533494,0.30005082,-0.16457327,-0.23040931,0.17944758,0.36087775,-0.24248365,-0.36578426,0.6399893,0.39802533,0.4213589,0.111811265,0.48881108,0.47750536,0.2155616,0.38894826,-0.09402376,-0.2939378,0.43293902,0.49304706,0.39663497
a,0.24267256,-0.1935076,-0.16833803,0.05006346,-0.10562468,-0.46558845,-0.16148317,0.51774716,-0.43980575,0.0920261,0.021272711,-0.29643387,0.03180548,0.10858794,-0.0060346047,0.36870256,0.084310845,0.20265472,0.10980206,-0.60577404,0.2673317,0.29682985,0.005472317,0.19032258,-0.14874326,0.28229672,0.06785104,0.22145714,0.10891903,-0.042676352,0.23410779,0.15803078,0.455712,-0.19443779,-0.20246749,0.2622875,0.5480918,0.66321355,-0.16364907,-0.01874328,-0.21866128,0.08899107,-0.07853524,0.26976547,-0.15275769,-0.0905561,-0.17116699,-0.0622277,-0.29621655,0.53386575,-0.24303359,0.4218399,0.080936156,-0.11700458,0.34086874,-0.1765883,0.01730024,-0.1776598,0.2745149,0.36849582,-0.4560908,-0.2573871,-0.15383834,0.32156527,0.0942948,0.12660706,-0.068781294,-0.088259235,-0.17893162,0.13429631,0.24264441,0.08927743,-0.15029436,0.13067016,0.041924793,0.09626154,0.26216385,-0.015655162,-0.21807225,0.1725272,0.15740557,0.16111329,0.15434235,-0.085306905,-0.25311694,0.1863717,0.045676794,0.2564952,0.1290525,0.5168922,-0.053121254,-0.07803149,0.13913122,0.08251177,-0.21758373,-0.33149585,0.54391265,-0.061249785,0.08145724,-0.09011754,0.13148439,-0.0545423,-0.11680483,-0.11480643,0.22131418,-0.52985483,0.04359655,0.23475276,-0.29249957,-0.10378884,0.09661142,-0.12538546,-0.2378665,0.25677526,0.17872734,0.053134914,-0.06092743,-0.42838237,-0.3459434,-0.73563373,-0.28254342,-0.14672214,-0.04666834,-0.49948958,-0.01704034,0.07065567,-0.34491345,-0.04466865,0.014143137,-0.08103591,0.036444843,-0.121401995,0.2756679,0.09074731,0.47171322,0.56781495,0.21992297,-0.0350709,-0.49570718,0.17943467,0.12377399,-0.3270567,-0.3237711,0.17764881,0.21633437,0.15878,0.39939567,0.0050220042,-0.20646416,0.6119576,-0.1885779,-0.23871572,0.16310406,0.24237728,-0.565822,0.3589183,0.29309508,0.36730072,0.24524842,-0.3810778,0.0936612,-0.1117753,-0.24082205,0.35749036,-0.38333002,0.4301986,0.4018287,0.3926611,-0.13841572,0.7073484,-0.20543353,-0.13002813,0.2978615,0.18258452,0.21062094,-0.22146852,0.13490725,0.16141981,-0.21567772,0.26060772,-0.5044293,0.33161458,-0.004867812,-0.12512209,0.014793975,0.050074082,-0.055551555,-0.61155534,-0.043235276,0.1757763,0.16498531,-0.10593046,0.051781747,0.5048326,0.03791365,0.22830498,0.024852093,0.054577153,-0.61764777,0.41289234
for,-0.057647955,0.1101359,0.14117654,-0.5456564,0.7415164,0.38838723,-0.08665309,-0.05082238,0.016685491,-0.122772396,0.05314394,0.114379615,0.105208606,0.19909538,0.20756198,-0.050960705,-0.24729022,0.07162351,0.44951558,-0.27681968,-0.110580064,0.10367286,-0.12591858,-0.06048394,-0.08403112,-0.037167013,0.21976207,0.14363447,-0.14333333,-0.08500258,-0.0006373391,0.052848477,-0.3314937,0.16788647,0.028360475,-0.36033997,-0.1893567,0.26304656,0.25285724,-0.07274703,0.35280594,0.003048642,-0.021084389,0.03258835,0.008775834,-0.10815489,-0.3096385,-0.32339573,-0.20863502,-0.05022298,0.7194326,-0.14723851,-0.14214398,-0.015808811,-0.124902464,0.24688172,-0.09246048,-0.08453058,-0.035342928,0.066793695,0.16986637,-0.05280515,0.56007874,-0.044609185,-0.6247795,0.14882924,0.083227396,0.16746989,-0.30386502,0.14756173,0.014242272,0.07929295,0.3243654,-0.003716028,0.3564782,-0.11277458,0.59969467,-0.2824421,-0.579341,-0.24096932,-0.07825272,0.21815343,-0.22930059,0.35903463,-0.06681451,0.06460337,0.53137714,-0.0091072675,0.01825727,0.24647014,0.17393447,0.049558304,0.29312947,0.031008577,0.1321776,-0.12687136,0.5938554,-0.19380338,0.469253,0.2818191,-0.07571907,0.19748764,-0.20705047,-0.43265113,0.255353,0.12349642,-0.22019438,0.12407343,-0.13718893,-0.1028091,0.12709466,-0.09422462,0.24595328,-0.062287804,0.20027608,0.08098652,0.30828702,-0.43083656,-0.14339763,-0.32864,0.34346387,0.13224775,-0.14726734,-0.31650415,-0.06300451,0.40328705,-0.32493916,-0.27646703,0.15298429,-0.07507847,0.4588407,0.44390836,0.2460749,-0.4712589,0.28262946,0.21988484,0.17710169,0.05831817,-0.3297582,-0.09469945,-0.3317608,0.00932228,0.4064986,-0.23048489,-0.112255014,-0.4088566,-0.37322274,0.03983083,0.018034203,0.08086706,-0.01479149,-0.07888546,-0.5651052,0.23265779,-0.41787267,0.44586492,0.21800132,0.06949551,0.15276073,-0.5686644,0.10155081,0.3157393,-0.09396404,0.5894676,0.22845235,0.06299189,-0.059600025,-0.35042024,0.08735418,-0.30091584,-0.09745523,0.2008895,-0.44891253,-0.1328389,0.18780538,-0.27942857,-0.09394353,-0.20492928,0.24618159,0.07258379,-0.19166961,0.008456936,0.23462422,-0.064032465,0.22755244,0.21918142,0.3350293,0.38893273,0.2855661,0.10958737,0.24736047,0.28579465,0.22942953,0.032410573,0.2497968,-0.21823077,-0.22572885,0.25067857,0.15083869,0.2886366
is,0.37119004,0.41618285,0.12162076,-0.56077605,0.22752735,-0.22825716,-0.26470906,0.04933234,0.4846894,0.104521774,0.021589907,-0.78566194,-0.23347327,0.12973239,-0.34413907,0.36833456,0.25668502,-0.25261393,0.51137406,-0.27326393,0.60965043,0.3459935,-0.08230439,0.2931614,-0.49503726,0.42166674,0.38154495,0.48950326,-0.05935579,-0.02995411,0.2783273,0.17783183,0.4505048,-0.58383226,-0.49158868,-0.24223576,0.83306676,0.5916834,0.14707677,0.1957094,0.45686862,-0.09021995,-0.19327009,-0.09416417,-0.051192824,-0.07057006,-0.3856381,-0.43815407,0.04266345,0.3464128,-0.07072691,0.058589123,-0.032052528,0.07012293,0.18043189,0.03976763,0.33532646,-0.022896985,0.14638068,0.23668407,0.12354613,-0.48204336,0.28081855,0.4515719,-0.031022035,0.6557904,0.14125605,-0.55102205,-0.11223874,0.19728339,0.019412,-0.5552834,0.37196985,0.12527253,-0.111613065,0.016332835,0.30208024,0.13375036,-0.26133198,-0.21747908,-0.05393831,0.13994987,0.20387244,-0.48656705,-0.2786332,0.20266494,0.1777929,0.27918127,-0.29831514,-0.411228,0.22119817,0.23839226,0.15585066,-0.05601122,-0.013527646,-0.2857228,0.16659524,0.03399531,-0.59529024,0.2567595,-0.17956872,0.5194918,0.22874974,-0.15839885,0.016320325,-0.37065998,-0.5997825,0.31150982,-0.21336983,0.35102215,-0.106217295,-0.3256965,0.44272596,0.5318363,-0.09516987,-0.17365697,-0.6214362,-0.5772411,0.101522736,-0.47298437,-0.086571254,0.27928272,-0.009311363,-0.91569465,-0.111485474,0.312604,-0.49035004,0.975245,0.52526176,-0.35243806,-0.15032268,0.1298356,0.42613092,0.4926639,0.270869,0.92228377,0.52664286,-0.6785495,-0.58823687,0.8905723,-0.03542564,-0.33398804,-0.0022179838,-0.19197674,0.025666285,0.1578396,-0.36339742,-0.40204313,-0.16826892,-0.27805457,0.08357219,0.2121035,0.44322512,0.6729686,-0.47372767,0.1918311,0.8026705,0.23753148,1.0124899,-0.25082242,0.53794235,-0.19502167,-0.3096187,0.4056683,0.46207854,-0.08624969,0.014193669,0.23800191,0.15491802,0.6118711,-0.5941564,0.03355244,-0.100996226,-0.095751256,0.2813157,0.109697275,0.34929028,-0.5992197,0.1271536,0.39397633,-0.78171396,-0.22755058,0.027921133,0.31547043,-0.056389462,0.709528,-0.2791971,-0.2709848,0.47409603,0.6761266,0.51345664,0.023043161,-0.18903826,-0.02881546,0.13737777,-0.0077675977,-0.32627252,0.6199662,-0.30606487,0.28535533
with,-0.18648106,-0.12034077,0.1473987,0.10661467,0.3550816,0.15857887,-0.26794565,-0.10378303,-0.060915954,-0.032151077,-0.3547034,0.24737543,0.24070984,0.32044223,0.18250887,0.2978409,-0.22150716,-0.37588504,-0.0009883139,-0.19020088,0.22678237,0.092523605,0.22370987,-0.07215061,0.12226402,-0.14363049,0.41108373,0.06950495,-0.2394558,-0.16853085,0.004748427,-0.26321626,-0.16784322,-0.10886714,0.2862285,-0.26362273,0.09060111,0.04183117,0.28139895,0.06350867,0.30511793,-0.42302,-0.24090281,0.008595714,0.173837,-0.02663359,-0.39239004,-0.44632477,0.11985915,0.014774421,0.22860688,-0.23531684,-0.28979754,-0.13233654,-0.07427364,0.2945822,-0.37835276,-0.3970242,-0.37039608,0.29693967,0.19628668,0.0649609,0.40950736,0.13314775,-0.14647597,0.3908799,-0.09011089,0.22842665,-0.051159855,0.34771866,-0.101286925,-0.020040391,0.0106609315,-0.09976401,0.017476285,-0.071868695,0.32929948,0.16358942,-0.039517213,0.017828656,-0.071547456,-0.16563398,-0.03931745,-0.03646014,-0.49882635,0.07178948,-0.22755319,-0.20004852,-0.08916592,-0.20163572,0.3777142,0.08797096,0.20966524,0.12034426,-0.08734267,0.044470083,0.07682012,-0.09446865,0.12496396,0.16467787,0.09941036,0.24891214,0.031155178,-0.036149915,0.320606,-0.10226597,0.121426165,0.30294463,-0.16199887,0.067027256,0.18193007,0.11005288,0.25795513,-0.22294337,0.08112324,-0.28996006,0.34036505,-0.4402753,-0.06365057,0.09218916,0.11107451,0.04886253,-0.18885751,-0.22323991,-0.09661559,0.20990767,-0.25581023,-0.28729638,0.05608625,-0.32425016,0.17914118,0.32357523,-0.17779346,-0.37419066,0.6372075,0.6114895,-0.08159427,0.242527,-0.10792422,-0.2523309,0.31213364,0.043277796,0.19293675,0.041058555,-0.01018851,-0.18613808,-0.52406996,0.12115886,-0.046954874,-0.049282003,0.12704818,0.2001187,0.05358515,0.116511576,-0.2164483,0.13708764,0.17356434,0.3426079,0.6238228,-0.10101548,0.0062266723,-0.014750788,-0.16628052,0.2097843,0.2881722,0.18454522,0.043540195,-0.20431018,0.075816266,-0.00023176373,-0.35752392,0.18209346,-0.23523352,-0.14445001,0.24080487,-0.2582388,0.12457933,-0.19410886,0.36688372,0.53695464,-0.1692355,0.25707856,0.31105983,-0.37648064,0.22285923,0.41887555,0.11375137,0.3580236,0.25528437,0.17568152,0.2946356,0.10854487,0.08894498,-0.25146937,0.28323263,0.0039479285,-0.2503087,0.18513036,-0.15477037,-0.16255845
that,0.6262963,-0.35022914,-0.071491495,-0.0040057157,0.40160593,-0.3206711,0.04134554,-0.09647222,-0.037693396,-0.01709248,-0.6098545,-0.02388294,0.04422082,0.082839385,0.030857362,-0.022274872,0.14356633,0.40348822,-0.046013683,0.012845841,0.05047853,-0.15212071,-0.42095137,-0.2861879,-0.03734996,0.26652715,-0.16607085,0.3364577,-0.116452225,0.017511887,0.4479323,-0.11281878,-0.20964572,0.09680999,-0.22095203,0.14658539,0.12549004,0.7022574,0.21701157,-0.1576487,-0.006101462,0.07833124,0.084317915,-0.05328211,0.019631281,0.090748645,-0.19294684,-0.47200572,-0.20434773,-0.08801152,0.085194185,-0.15458205,0.20956846,-0.40340942,0.08114971,0.13767913,-0.0037632154,-0.20316775,-0.24100007,-0.3380518,-0.21299708,0.2379065,-0.009206788,0.111073434,-0.26579973,0.06946283,0.3386758,0.27923524,-0.34435853,0.47517234,0.22520974,0.18900143,0.24189961,0.13345054,0.5860491,-0.17227845,-0.002012641,0.12607859,-0.52561754,-0.03863757,-0.28360504,-0.033753548,-0.4016799,0.20630078,-0.16709137,0.089387186,-0.12647319,-0.10506545,-0.026644824,0.060517993,0.36139068,-0.04334656,0.41745907,0.33788386,0.23613252,-0.24913,0.14808078,0.029679809,0.018838855,0.10783525,0.08232526,0.10464023,0.27802953,0.10866048,-0.4059396,-0.5515539,0.09308489,0.13430388,0.112533994,-0.41132557,-0.08781049,-0.18488832,-0.04013199,-0.32445306,0.16642997,-0.025764534,0.1508689,-0.87922615,0.14774752,-0.46749854,-0.040712085,0.53220624,-0.37923726,-0.38783246,-0.15902625,0.14322302,0.009552537,-0.16575845,-0.042008437,-0.28140542,-0.090111986,-0.15370816,0.20211546,-0.06813164,0.055328943,0.39987856,-0.5040721,-0.26157895,-0.11474429,-0.5927027,0.18745744,-0.38292247,0.063611604,-0.23648252,0.1890861,-0.02600339,-0.3998258,-0.12258447,0.13401657,0.53938466,-0.29272917,-0.065657325,-0.027692115,-0.133124,-0.39825526,0.34237754,0.14558694,0.27796555,0.14482096,-0.09454307,-0.068688124,0.15237948,-0.24775346,-0.32471567,0.10181232,0.14203617,0.14415005,0.009931517,-0.020625781,0.31751677,0.111798465,-0.1274444,0.6173956,0.03556948,0.27527365,0.08881534,0.3542652,-0.21051979,0.208497,-0.11309842,-0.054893322,0.45814064,-0.075124405,0.17124985,0.046107788,-0.08299145,0.12919745,-0.13349664,-0.37721843,0.01998528,0.064692445,-0.14845747,-0.5168757,0.43258852,-0.32077843,0.07698852,-0.42987618,0.03609453,-0.17225416,0.15022612
